Time,count
06-24-2024 10:33:50,5
06-24-2024 10:58:51,3
06-24-2024 11:04:02,2
06-24-2024 11:07:51,3
06-24-2024 11:41:23,2
06-24-2024 11:50:18,3
06-24-2024 11:58:18,2
06-24-2024 12:27:57,3
06-24-2024 12:40:15,2
06-24-2024 12:42:10,1
06-24-2024 12:47:42,2
06-24-2024 12:50:02,0
06-24-2024 13:07:42,1
06-24-2024 15:29:12,2
06-24-2024 15:31:27,1
06-24-2024 15:31:27,2
06-24-2024 15:52:21,1
06-24-2024 15:54:50,2
06-24-2024 16:28:30,1
06-24-2024 16:31:00,2
06-24-2024 16:52:00,0
06-24-2024 17:22:00,0